,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2020-11-19,499.2699890136719,-0.9994,0.107,0.82,0.073,492.0,508.6099853515625,487.57000732421875,62475300.0
2020-11-20,489.6099853515625,-0.9998,0.13,0.787,0.083,497.989990234375,502.5,489.05999755859375,32911900.0
2020-11-23,521.8499755859375,-0.9983,0.102,0.815,0.083,503.5,526.0,501.7900085449219,50260300.0
2020-11-24,555.3800048828125,-0.9996,0.124,0.787,0.089,540.4000244140625,559.989990234375,526.2000122070312,53648500.0
2020-11-25,574.0,-0.9999,0.127,0.813,0.06,550.0599975585938,574.0,545.3699951171875,48930200.0
2020-11-27,585.760009765625,-0.9998,0.124,0.799,0.077,581.1599731445312,598.780029296875,578.4500122070312,37561100.0
2020-11-30,567.5999755859375,-0.9998,0.127,0.803,0.07,602.2100219726562,607.7999877929688,554.510009765625,63003100.0
2020-12-01,584.760009765625,-0.9999,0.149,0.775,0.076,597.5900268554688,597.8499755859375,572.0499877929688,40103500.0
2020-12-02,568.8200073242188,-0.9985,0.102,0.82,0.078,556.4400024414062,571.5399780273438,541.2100219726562,47775700.0
2020-12-03,593.3800048828125,-0.9999,0.139,0.797,0.064,590.02001953125,598.969970703125,582.4299926757812,42552000.0
2020-12-04,599.0399780273438,-0.9999,0.16,0.75,0.089,591.010009765625,599.0399780273438,585.5,29401300.0
2020-12-07,641.760009765625,-0.9996,0.124,0.786,0.089,604.9199829101562,648.7899780273438,603.0499877929688,56309700.0
2020-12-08,649.8800048828125,-0.9998,0.136,0.789,0.075,625.510009765625,651.280029296875,618.5,64265000.0
2020-12-09,604.47998046875,-0.9998,0.141,0.777,0.081,653.6900024414062,654.3200073242188,588.0,71291200.0
2020-12-10,627.0700073242188,-0.9996,0.12,0.802,0.078,574.3699951171875,627.75,566.3400268554688,67083200.0
2020-12-11,609.989990234375,-0.9999,0.147,0.772,0.081,615.010009765625,624.0,596.7999877929688,46475000.0
2020-12-14,639.8300170898438,-0.9993,0.112,0.808,0.081,619.0,642.75,610.2000122070312,52040600.0
2020-12-15,633.25,-0.9998,0.123,0.802,0.074,643.280029296875,646.9000244140625,623.7999877929688,45071500.0
2020-12-16,622.77001953125,-0.9994,0.105,0.82,0.075,628.22998046875,632.5,605.0,42095800.0
2020-12-17,655.9000244140625,-0.9997,0.123,0.801,0.076,628.1900024414062,658.8200073242188,619.5,56270100.0
2020-12-18,695.0,-0.9998,0.132,0.78,0.088,668.9000244140625,695.0,628.5399780273438,222126200.0
2020-12-21,649.8599853515625,-0.9995,0.103,0.832,0.065,666.239990234375,668.5,646.0700073242188,58045300.0
2020-12-22,640.3400268554688,-0.9999,0.158,0.742,0.099,648.0,649.8800048828125,614.22998046875,51716000.0
2020-12-23,645.97998046875,-0.9996,0.12,0.8,0.08,632.2000122070312,651.5,622.5700073242188,33173000.0
2020-12-24,661.77001953125,-0.9971,0.082,0.854,0.064,642.989990234375,666.0900268554688,641.0,22865600.0
2020-12-28,663.6900024414062,-0.9997,0.126,0.789,0.085,674.510009765625,681.4000244140625,660.7999877929688,32278600.0
2020-12-29,665.989990234375,-0.9998,0.136,0.774,0.09,661.0,669.9000244140625,655.0,22910800.0
2020-12-30,694.780029296875,-0.9998,0.126,0.797,0.077,672.0,696.5999755859375,668.3599853515625,42846000.0
2020-12-31,705.6699829101562,-0.9996,0.124,0.783,0.094,699.989990234375,718.719970703125,691.1199951171875,49649900.0
